departure,arrival,departure_date,departure_time,arrival_date,arrival_time,bus_capacity,bus_number,ticket_price
Glasgow,Aberdeen,2023-04-24,06:00,2023-04-24,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-24,10:00,2023-04-24,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-24,12:30,2023-04-24,14:45,40,EA130,40.00
Edinburgh,Aberdeen,2023-04-24,16:00,2023-04-24,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-24,09:30,2023-04-24,11:45,40,IA132,25.00
Inverness,Aberdeen,2023-04-24,15:00,2023-04-24,17:15,40,IA133,25.00
Aberdeen,Glasgow,2023-04-24,6:30,2023-04-24,8:45,40,GA128,35.50
Aberdeen,Glasgow,2023-04-24,20:00,2023-04-24,22:15,40,GA129,35.50
Aberdeen,Inverness,2023-04-24,19:30,2023-04-24,21:45,40,IA132,25.00
Aberdeen,Inverness,2023-04-24,13:00,2023-04-24,13:55,40,IA133,25.00
Aberdeen,London,2023-04-25,07:30,2023-04-25,17:45,40,AB123,90.00
Aberdeen,Glasgow,2023-04-25,06:00,2023-04-25,08:15,40,GA128,35.50
Aberdeen,Edinburgh,2023-04-25,12:30,2023-04-25,14:45,40,EA130,40.00
Aberdeen,Inverness,2023-04-25,09:30,2023-04-25,11:45,40,IA132,25.00
Aberdeen,Dundee,2023-04-25,14:00,2023-04-25,16:15,40,DA134,30.00
London,Aberdeen,2023-04-25,08:00,2023-04-25,18:15,40,LA125,90.00
Glasgow,Aberdeen,2023-04-25,10:00,2023-04-25,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-25,16:00,2023-04-25,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-25,15:00,2023-04-25,17:15,40,IA133,25.00
Dundee,Aberdeen,2023-04-25,18:30,2023-04-25,20:45,40,DA135,30.00
Aberdeen,London,2023-04-26,07:30,2023-04-26,17:45,40,AB123,90.00
Aberdeen,London,2023-04-26,11:00,2023-04-26,21:15,40,AB124,90.00
Aberdeen,Glasgow,2023-04-26,06:00,2023-04-26,08:15,40,GA128,35.50
Aberdeen,Glasgow,2023-04-26,10:00,2023-04-26,12:15,40,GA129,35.50
Aberdeen,Edinburgh,2023-04-26,12:30,2023-04-26,14:45,40,EA130,40.00
Aberdeen,Edinburgh,2023-04-26,16:00,2023-04-26,18:15,40,EA131,40.00
Aberdeen,Inverness,2023-04-26,09:30,2023-04-26,11:45,40,IA132,25.00
Aberdeen,Inverness,2023-04-26,15:00,2023-04-26,17:15,40,IA133,25.00
Aberdeen,Dundee,2023-04-26,08:30,2023-04-26,10:45,40,DA134,30.00
Aberdeen,Dundee,2023-04-26,13:30,2023-04-26,15:45,40,DA135,30.00
London,Aberdeen,2023-04-26,07:30,2023-04-27,17:45,40,BA123,90.00
London,Aberdeen,2023-04-26,11:00,2023-04-27,21:15,40,BA124,90.00
Glasgow,Aberdeen,2023-04-26,06:00,2023-04-27,08:15,40,AG128,35.50
Glasgow,Aberdeen,2023-04-26,10:00,2023-04-27,12:15,40,AG129,35.50
Edinburgh,Aberdeen,2023-04-26,12:30,2023-04-27,14:45,40,AE130,40.00
Edinburgh,Aberdeen,2023-04-26,16:00,2023-04-27,18:15,40,AE131,40.00
Inverness,Aberdeen,2023-04-26,09:30,2023-04-27,11:45,40,AI132,25.00
Inverness,Aberdeen,2023-04-26,15:00,2023-04-27,17:15,40,AI133,25.00
Dundee,Aberdeen,2023-04-26,08:30,2023-04-27,10:45,40,AD134,30.00
Aberdeen,London,2023-04-27,07:30,2023-04-27,17:45,40,AB123,90.00
Aberdeen,London,2023-04-27,11:00,2023-04-27,21:15,40,AB124,90.00
Glasgow,Aberdeen,2023-04-27,06:00,2023-04-27,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-27,10:00,2023-04-27,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-27,12:30,2023-04-27,14:45,40,EA130,40.00
Edinburgh,Aberdeen,2023-04-27,16:00,2023-04-27,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-27,09:30,2023-04-27,11:45,40,IA132,25.00
Inverness,Aberdeen,2023-04-27,15:00,2023-04-27,17:15,40,IA133,25.00
Dundee,Aberdeen,2023-04-27,08:00,2023-04-27,09:45,40,DA134,15.00
Dundee,Aberdeen,2023-04-27,12:00,2023-04-27,13:45,40,DA135,15.00
Aberdeen,London,2023-04-28,07:30,2023-04-28,17:45,40,AB123,90.00
Aberdeen,Glasgow,2023-04-28,06:00,2023-04-28,08:15,40,AG128,35.50
Aberdeen,Glasgow,2023-04-28,10:00,2023-04-28,12:15,40,AG129,35.50
Aberdeen,Edinburgh,2023-04-28,12:30,2023-04-28,14:45,40,AE130,40.00
Aberdeen,Edinburgh,2023-04-28,16:00,2023-04-28,18:15,40,AE131,40.00
Aberdeen,Inverness,2023-04-28,09:30,2023-04-28,11:45,40,AI132,25.00
Aberdeen,Inverness,2023-04-28,15:00,2023-04-28,17:15,40,AI133,25.00
Aberdeen,Dundee,2023-04-28,07:00,2023-04-28,09:15,40,AD134,30.00
Aberdeen,Dundee,2023-04-28,14:00,2023-04-28,16:15,40,AD135,30.00
London,Aberdeen,2023-04-28,07:30,2023-04-28,17:45,40,LA123,90.00
London,Aberdeen,2023-04-28,11:00,2023-04-28,21:15,40,LA124,90.00
Glasgow,Aberdeen,2023-04-28,06:00,2023-04-28,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-28,10:00,2023-04-28,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-28,12:30,2023-04-28,14:45,40,EA130,40.00
Dundee,Aberdeen,2023-04-28,16:00,2023-04-28,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-28,09:30,2023-04-28,11:45,40,IA132,25.00
Inverness,Aberdeen,2023-04-28,15:00,2023-04-28,17:15,40,IA133,25.00
Dundee,Aberdeen,2023-04-28,07:00,2023-04-28,09:15,40,DA134,30.00
Aberdeen,London,2023-04-29,07:30,2023-04-29,17:45,40,AB123,90.00
Aberdeen,Glasgow,2023-04-29,11:00,2023-04-29,13:15,40,AG129,35.50
Aberdeen,Edinburgh,2023-04-29,12:30,2023-04-29,14:45,40,AE130,40.00
Aberdeen,Inverness,2023-04-29,15:00,2023-04-29,17:15,40,AI133,25.00
Aberdeen,Dundee,2023-04-29,07:00,2023-04-29,09:15,40,AD134,30.00
Aberdeen,Dundee,2023-04-29,14:00,2023-04-29,16:15,40,AD135,30.00
London,Aberdeen,2023-04-29,07:30,2023-04-29,17:45,40,LA123,90.00
London,Aberdeen,2023-04-29,11:00,2023-04-29,21:15,40,LA124,90.00
Glasgow,Aberdeen,2023-04-29,06:00,2023-04-29,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-04-29,10:00,2023-04-29,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-04-29,12:30,2023-04-29,14:45,40,EA130,40.00
Dundee,Aberdeen,2023-04-29,16:00,2023-04-29,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-04-29,09:30,2023-04-29,11:45,40,IA132,25.00
Dundee,Aberdeen,2023-04-29,07:00,2023-04-29,09:15,40,DA134,30.00
Aberdeen,Glasgow,2023-04-30,06:00,2023-04-30,08:15,40,AB128,35.50
Aberdeen,Glasgow,2023-04-30,10:00,2023-04-30,12:15,40,AB129,35.50
Aberdeen,Edinburgh,2023-04-30,12:30,2023-04-30,14:45,40,AB130,40.00
Aberdeen,Edinburgh,2023-04-30,16:00,2023-04-30,18:15,40,AB131,40.00
Aberdeen,Inverness,2023-04-30,09:30,2023-04-30,11:45,40,AB132,25.00
Aberdeen,Inverness,2023-04-30,15:00,2023-04-30,17:15,40,AB133,25.00
Aberdeen,Dundee,2023-04-30,07:45,2023-04-30,10:00,35,AB134,30.00
Aberdeen,London,2023-04-30,09:00,2023-04-30,20:30,50,AB135,70.00
Glasgow,Aberdeen,2023-04-30,13:00,2023-04-30,15:15,40,AB136,35.50
Glasgow,Aberdeen,2023-04-30,17:30,2023-04-30,19:45,40,AB137,35.50
Edinburgh,Aberdeen,2023-04-30,08:45,2023-04-30,11:00,40,AB138,40.00
Edinburgh,Aberdeen,2023-04-30,13:30,2023-04-30,15:45,40,AB139,40.00
Inverness,Aberdeen,2023-04-30,12:00,2023-04-30,14:15,40,AB140,25.00
Inverness,Aberdeen,2023-04-30,17:30,2023-04-30,19:45,40,AB141,25.00
Dundee,Aberdeen,2023-04-30,12:30,2023-04-30,14:45,35,AB142,30.00
London,Aberdeen,2023-04-30,12:30,2023-05-01,00:00,50,AB143,70.00
Aberdeen,London,2023-05-01,07:30,2023-05-01,17:45,40,AB123,90.00
Aberdeen,London,2023-05-01,11:00,2023-05-01,21:15,40,AB124,90.00
Glasgow,Aberdeen,2023-05-01,06:00,2023-05-01,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-05-01,10:00,2023-05-01,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-05-01,12:30,2023-05-01,14:45,40,EA130,40.00
Edinburgh,Aberdeen,2023-05-01,16:00,2023-05-01,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-05-01,09:30,2023-05-01,11:45,40,IA132,25.00
Inverness,Aberdeen,2023-05-01,15:00,2023-05-01,17:15,40,IA133,25.00
Aberdeen,Glasgow,2023-05-01,6:30,2023-05-01,8:45,40,GA128,35.50
Aberdeen,Glasgow,2023-05-01,20:00,2023-05-01,22:15,40,GA129,35.50
Aberdeen,Inverness,2023-05-01,19:30,2023-05-01,21:45,40,IA132,25.00
Aberdeen,Inverness,2023-05-01,13:00,2023-05-01,13:55,40,IA133,25.00
Aberdeen,London,2023-05-02,07:30,2023-05-02,17:45,40,AB123,90.00
Aberdeen,Glasgow,2023-05-02,06:00,2023-05-02,08:15,40,GA128,35.50
Aberdeen,Edinburgh,2023-05-02,12:30,2023-05-02,14:45,40,EA130,40.00
Aberdeen,Inverness,2023-05-02,09:30,2023-05-02,11:45,40,IA132,25.00
Aberdeen,Dundee,2023-05-02,14:00,2023-05-02,16:15,40,DA134,30.00
London,Aberdeen,2023-05-02,08:00,2023-05-02,18:15,40,LA125,90.00
Glasgow,Aberdeen,2023-05-02,10:00,2023-05-02,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-05-02,16:00,2023-05-02,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-05-02,15:00,2023-05-02,17:15,40,IA133,25.00
Dundee,Aberdeen,2023-05-02,18:30,2023-05-02,20:45,40,DA135,30.00
Aberdeen,London,2023-05-03,07:30,2023-05-03,17:45,40,AB123,90.00
Aberdeen,London,2023-05-03,11:00,2023-05-03,21:15,40,AB124,90.00
Aberdeen,Glasgow,2023-05-03,06:00,2023-05-03,08:15,40,GA128,35.50
Aberdeen,Glasgow,2023-05-03,10:00,2023-05-03,12:15,40,GA129,35.50
Aberdeen,Edinburgh,2023-05-03,12:30,2023-05-03,14:45,40,EA130,40.00
Aberdeen,Edinburgh,2023-05-03,16:00,2023-05-03,18:15,40,EA131,40.00
Aberdeen,Inverness,2023-05-03,09:30,2023-05-03,11:45,40,IA132,25.00
Aberdeen,Inverness,2023-05-03,15:00,2023-05-03,17:15,40,IA133,25.00
Aberdeen,Dundee,2023-05-03,08:30,2023-05-03,10:45,40,DA134,30.00
Aberdeen,Dundee,2023-05-03,13:30,2023-05-03,15:45,40,DA135,30.00
London,Aberdeen,2023-05-03,07:30,2023-05-04,17:45,40,BA123,90.00
London,Aberdeen,2023-05-03,11:00,2023-05-04,21:15,40,BA124,90.00
Glasgow,Aberdeen,2023-05-03,06:00,2023-05-04,08:15,40,AG128,35.50
Glasgow,Aberdeen,2023-05-03,10:00,2023-05-04,12:15,40,AG129,35.50
Edinburgh,Aberdeen,2023-05-03,12:30,2023-05-04,14:45,40,AE130,40.00
Edinburgh,Aberdeen,2023-05-03,16:00,2023-05-04,18:15,40,AE131,40.00
Inverness,Aberdeen,2023-05-03,09:30,2023-05-04,11:45,40,AI132,25.00
Inverness,Aberdeen,2023-05-03,15:00,2023-05-04,17:15,40,AI133,25.00
Dundee,Aberdeen,2023-05-03,08:30,2023-05-04,10:45,40,AD134,30.00
Aberdeen,London,2023-05-04,07:30,2023-05-04,17:45,40,AB123,90.00
Aberdeen,London,2023-05-04,11:00,2023-05-04,21:15,40,AB124,90.00
Glasgow,Aberdeen,2023-05-04,06:00,2023-05-04,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-05-04,10:00,2023-05-04,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-05-04,12:30,2023-05-04,14:45,40,EA130,40.00
Edinburgh,Aberdeen,2023-05-04,16:00,2023-05-04,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-05-04,09:30,2023-05-04,11:45,40,IA132,25.00
Inverness,Aberdeen,2023-05-04,15:00,2023-05-04,17:15,40,IA133,25.00
Dundee,Aberdeen,2023-05-04,08:00,2023-05-04,09:45,40,DA134,15.00
Dundee,Aberdeen,2023-05-04,12:00,2023-05-04,13:45,40,DA135,15.00
Aberdeen,London,2023-05-05,07:30,2023-05-05,17:45,40,AB123,90.00
Aberdeen,Glasgow,2023-05-05,06:00,2023-05-05,08:15,40,AG128,35.50
Aberdeen,Glasgow,2023-05-05,10:00,2023-05-05,12:15,40,AG129,35.50
Aberdeen,Edinburgh,2023-05-05,12:30,2023-05-05,14:45,40,AE130,40.00
Aberdeen,Edinburgh,2023-05-05,16:00,2023-05-05,18:15,40,AE131,40.00
Aberdeen,Inverness,2023-05-05,09:30,2023-05-05,11:45,40,AI132,25.00
Aberdeen,Inverness,2023-05-05,15:00,2023-05-05,17:15,40,AI133,25.00
Aberdeen,Dundee,2023-05-05,07:00,2023-05-05,09:15,40,AD134,30.00
Aberdeen,Dundee,2023-05-05,14:00,2023-05-05,16:15,40,AD135,30.00
London,Aberdeen,2023-05-05,07:30,2023-05-05,17:45,40,LA123,90.00
London,Aberdeen,2023-05-05,11:00,2023-05-05,21:15,40,LA124,90.00
Glasgow,Aberdeen,2023-05-05,06:00,2023-05-05,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-05-05,10:00,2023-05-05,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-05-05,12:30,2023-05-05,14:45,40,EA130,40.00
Dundee,Aberdeen,2023-05-05,16:00,2023-05-05,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-05-05,09:30,2023-05-05,11:45,40,IA132,25.00
Inverness,Aberdeen,2023-05-05,15:00,2023-05-05,17:15,40,IA133,25.00
Dundee,Aberdeen,2023-05-05,07:00,2023-05-05,09:15,40,DA134,30.00
Aberdeen,London,2023-05-06,07:30,2023-05-06,17:45,40,AB123,90.00
Aberdeen,Glasgow,2023-05-06,11:00,2023-05-06,13:15,40,AG129,35.50
Aberdeen,Edinburgh,2023-05-06,12:30,2023-05-06,14:45,40,AE130,40.00
Aberdeen,Inverness,2023-05-06,15:00,2023-05-06,17:15,40,AI133,25.00
Aberdeen,Dundee,2023-05-06,07:00,2023-05-06,09:15,40,AD134,30.00
Aberdeen,Dundee,2023-05-06,14:00,2023-05-06,16:15,40,AD135,30.00
London,Aberdeen,2023-05-06,07:30,2023-05-06,17:45,40,LA123,90.00
London,Aberdeen,2023-05-06,11:00,2023-05-06,21:15,40,LA124,90.00
Glasgow,Aberdeen,2023-05-06,06:00,2023-05-06,08:15,40,GA128,35.50
Glasgow,Aberdeen,2023-05-06,10:00,2023-05-06,12:15,40,GA129,35.50
Edinburgh,Aberdeen,2023-05-06,12:30,2023-05-06,14:45,40,EA130,40.00
Dundee,Aberdeen,2023-05-06,16:00,2023-05-06,18:15,40,EA131,40.00
Inverness,Aberdeen,2023-05-06,09:30,2023-05-06,11:45,40,IA132,25.00
Dundee,Aberdeen,2023-05-06,07:00,2023-05-06,09:15,40,DA134,30.00
